"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0004869","cysteine-type endopeptidase inhibitor activity","6/4553","40/18706",0.15,0.616274983527345,-1.37793238215158,0.947783035772863,1,1,"BIRC6/CST7/CST3/CSTB/CST6/LTF",6
"GO:0015171","amino acid transmembrane transporter activity","18/4553","100/18706",0.18,0.739529980232814,-1.48127148560152,0.948996309084093,1,1,"GRIN3A/SLC38A9/SLC6A12/SLC3A2/SLC1A2/SLC7A5/SLC6A8/SLC43A2/MFSD12/SLC22A4/SLC7A1/SFXN3/SLC38A7/SLC7A11/SLC15A4/SLC6A7/SLC25A12/GRIN2C",18
"GO:0004016","adenylate cyclase activity","1/4553","11/18706",0.0909090909090909,0.373499990016572,-1.17884883373626,0.953534311234477,1,1,"ADCY3",1
"GO:0005221","intracellularly cyclic nucleotide-activated monoatomic cation channel activity","1/4553","11/18706",0.0909090909090909,0.373499990016572,-1.17884883373626,0.953534311234477,1,1,"CNGB1",1
"GO:0015203","polyamine transmembrane transporter activity","1/4553","11/18706",0.0909090909090909,0.373499990016572,-1.17884883373626,0.953534311234477,1,1,"ATP13A3",1
"GO:0016175","superoxide-generating NAD(P)H oxidase activity","1/4553","11/18706",0.0909090909090909,0.373499990016572,-1.17884883373626,0.953534311234477,1,1,"CYBA",1
"GO:0016208","AMP binding","1/4553","11/18706",0.0909090909090909,0.373499990016572,-1.17884883373626,0.953534311234477,1,1,"ACSS1",1
"GO:0031731","CCR6 chemokine receptor binding","1/4553","11/18706",0.0909090909090909,0.373499990016572,-1.17884883373626,0.953534311234477,1,1,"CCL20",1
"GO:0034056","estrogen response element binding","1/4553","11/18706",0.0909090909090909,0.373499990016572,-1.17884883373626,0.953534311234477,1,1,"ESRRA",1
"GO:0043855","cyclic nucleotide-activated monoatomic ion channel activity","1/4553","11/18706",0.0909090909090909,0.373499990016572,-1.17884883373626,0.953534311234477,1,1,"CNGB1",1
"GO:0047045","testosterone dehydrogenase (NADP+) activity","1/4553","11/18706",0.0909090909090909,0.373499990016572,-1.17884883373626,0.953534311234477,1,1,"HSD17B12",1
"GO:0004806","triacylglycerol lipase activity","3/4553","24/18706",0.125,0.513562486272787,-1.35245998670091,0.953930560025145,1,1,"PNPLA2/LIPN/PNPLA1",3
"GO:0015296","monoatomic anion:monoatomic cation symporter activity","3/4553","24/18706",0.125,0.513562486272787,-1.35245998670091,0.953930560025145,1,1,"SLC6A12/SLC6A8/SLC6A3",3
"GO:0004970","glutamate-gated receptor activity","2/4553","18/18706",0.111111111111111,0.456499987798033,-1.30845209259313,0.955246760465652,1,1,"GRIN3A/GRIN2C",2
"GO:0015280","ligand-gated sodium channel activity","2/4553","18/18706",0.111111111111111,0.456499987798033,-1.30845209259313,0.955246760465652,1,1,"SCNN1D/ASIC3",2
"GO:0140939","histone H4 methyltransferase activity","2/4553","18/18706",0.111111111111111,0.456499987798033,-1.30845209259313,0.955246760465652,1,1,"PRMT6/NSD1",2
