"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Genetic Information Processing","Information processing in viruses","hsa03272","Virion - Hepatitis viruses","11/2256","48/9382",0.229166666666667,0.953032653664303,-0.183549814611591,0.627896334002287,0.854231059049622,0.854231059049622,"CD63/LAMP1/CD81/CHMP1B/PDCD6IP/IST1/CLDN5/CHMP1A/CHMP7/LDLR/CHMP4B",11
"Metabolism","Global and overview maps","hsa01212","Fatty acid metabolism","13/2256","57/9382",0.228070175438596,0.948472688814234,-0.219544061764816,0.637269645992953,0.863635697851454,0.863635697851454,"HACD2/ELOVL7/ELOVL3/ACADM/ACSL1/EHHADH/ACADVL/FASN/CBR4/HSD17B4/ACOX1/ACAA1/HSD17B12",13
"Metabolism","Carbohydrate metabolism","hsa00030","Pentose phosphate pathway","7/2256","31/9382",0.225806451612903,0.939058567833448,-0.191221042380198,0.644020830733738,0.866096979262614,0.866096979262614,"PFKP/GLYCTK/PGM2/RPE/PFKL/G6PD/GPI",7
"Metabolism","Carbohydrate metabolism","hsa00053","Ascorbate and aldarate metabolism","7/2256","31/9382",0.225806451612903,0.939058567833448,-0.191221042380198,0.644020830733738,0.866096979262614,0.866096979262614,"GUSB/ALDH3A2/ALDH9A1/KL/ALDH1B1/ALDH2/UGDH",7
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","24/2256","105/9382",0.228571428571429,0.950557244174265,-0.286658449303702,0.649773956251173,0.870498697115121,0.870498697115121,"TGFB1/TPM4/ADCY3/PRKACB/ATP2A2/DAG1/ITGA3/ITGB8/ACTB/ITGA7/CACNB3/CACNA2D3/LMNA/EMD/ATP2A3/MYBPC3/TNF/ACTG1/LAMA2/TPM3/SNTB2/TPM2/ITGB7/ATP2A1",24
"Metabolism","Carbohydrate metabolism","hsa00650","Butanoate metabolism","6/2256","27/9382",0.222222222222222,0.924152876280536,-0.222059986398082,0.660529953665933,0.881543778466702,0.881543778466702,"BDH1/HMGCL/ABAT/ACSM1/EHHADH/HMGCS1",6
"Metabolism","Carbohydrate metabolism","hsa00500","Starch and sucrose metabolism","8/2256","36/9382",0.222222222222222,0.924152876280536,-0.256536216178571,0.663995689231182,0.882812450455095,0.882812450455095,"MGAM/HK3/PGM2/HK1/UGP2/AGL/PYGM/GPI",8
"Organismal Systems","Digestive system","hsa04971","Gastric acid secretion","17/2256","76/9382",0.223684210526316,0.93023282941396,-0.34359559638265,0.677217532827323,0.893949236413758,0.893949236413758,"CA2/EZR/ADCY3/PRKACB/CALM2/SSTR2/ACTB/KCNJ15/GNAI3/ITPR2/CALM3/ITPR1/KCNJ2/ATP1A1/ACTG1/ATP1B1/ATP1B3",17
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","42/2256","184/9382",0.228260869565217,0.949265726179463,-0.391052317540903,0.679659171881839,0.893949236413758,0.893949236413758,"BMPR2/RGS3/MET/PLXNA2/SEMA3B/PLXNA3/PAK1/LIMK2/CFL1/NRAS/EPHA1/WNT5A/NCK1/PLXNC1/SEMA3F/NTN1/ROCK2/EFNA4/GNAI3/DPYSL2/CFL2/MYL5/RAC1/MAPK1/SEMA6B/RAC2/EPHB4/PAK2/SEMA4B/UNC5A/EPHB3/EFNB1/RHOA/SRC/L1CAM/RAF1/PPP3CB/NTNG2/RGMA/PLXNA1/MYL9/WNT5B",42
"Organismal Systems","Endocrine system","hsa04614","Renin-angiotensin system","5/2256","23/9382",0.217391304347826,0.904062596361394,-0.259184103766875,0.680387736858468,0.893949236413758,0.893949236413758,"LNPEP/NLN/ACE/CTSA/MME",5
"Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","22/2256","98/9382",0.224489795918367,0.933583007671154,-0.371874058390498,0.682559530937001,0.893949236413758,0.893949236413758,"PDE2A/CAMK1G/ADCY3/PRKACB/NR4A1/ATP2B1/CALM2/CREB1/ITPR2/PRKD3/CALM3/ITPR1/ATP1A1/ATF1/ATP2B4/CACNA1G/ATP1B1/LDLR/ATF4/ATF2/PRKD2/ATP1B3",22
"Metabolism","Lipid metabolism","hsa00062","Fatty acid elongation","6/2256","28/9382",0.214285714285714,0.891147416413374,-0.324556477253731,0.697337587103678,0.906538863234781,0.906538863234781,"HACD2/ELOVL7/ELOVL3/ACOT2/MBLAC2/HSD17B12",6
"Metabolism","Metabolism of cofactors and vitamins","hsa00790","Folate biosynthesis","6/2256","28/9382",0.214285714285714,0.891147416413374,-0.324556477253731,0.697337587103678,0.906538863234781,0.906538863234781,"ALPL/GCH1/FPGS/PTS/CBR1/PCBD2",6
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","19/2256","86/9382",0.22093023255814,0.918779894441696,-0.425731636624947,0.704336759069373,0.912259049569557,0.912259049569557,"ATP2A2/DAG1/ITGA3/ITGB8/PKP2/TCF7L1/ACTB/ITGA7/CTNNB1/CACNB3/CACNA2D3/LMNA/EMD/ATP2A3/ACTG1/LAMA2/SNTB2/ITGB7/ATP2A1",19
"Organismal Systems","Endocrine system","hsa04924","Renin secretion","15/2256","69/9382",0.217391304347826,0.904062596361394,-0.450027353147575,0.717342607101135,0.924037898661393,0.924037898661393,"PRKACB/ACE/CALM2/EDN1/PDE1B/CREB1/GNAI3/ITPR2/CALM3/ITPR1/KCNJ2/PTGER4/PPP3CB/CTSB/PTGER2",15
"Metabolism","Glycan biosynthesis and metabolism","hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin","5/2256","24/9382",0.208333333333333,0.866393321513002,-0.368734246091709,0.718696143403306,0.924037898661393,0.924037898661393,"HS3ST1/GLCE/HS2ST1/HS6ST1/HS3ST3B1",5
"Organismal Systems","Circulatory system","hsa04260","Cardiac muscle contraction","19/2256","87/9382",0.218390804597701,0.908219205999837,-0.483902589739368,0.724389907600459,0.926859234230642,0.926859234230642,"MT-CYB/TPM4/ATP2A2/UQCRC2/MT-CO3/UQCR11/CACNB3/CACNA2D3/UQCRFS1/ATP2A3/MT-CO1/ATP1A1/FXYD2/TPM3/ATP1B1/MT-CO2/TPM2/ATP2A1/ATP1B3",19
"Metabolism","Metabolism of cofactors and vitamins","hsa00760","Nicotinate and nicotinamide metabolism","8/2256","38/9382",0.210526315789474,0.875513251213139,-0.432633071324545,0.726171764710617,0.926859234230642,0.926859234230642,"NADSYN1/SIRT2/SIRT7/NAMPT/NMNAT1/NNT/NAPRT/PNP",8
"Organismal Systems","Sensory system","hsa04744","Phototransduction","6/2256","29/9382",0.206896551724138,0.86041819515774,-0.423568395690525,0.731368506135612,0.930020431574529,0.930020431574529,"CALM2/RCVRN/PDE6A/SAG/CALM3/CNGB1",6
"Metabolism","Energy metabolism","hsa00920","Sulfur metabolism","2/2256","10/9382",0.2,0.831737588652482,-0.299531274978565,0.733947747994714,0.930020431574529,0.930020431574529,"BPNT1/SUOX",2
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","19/2256","88/9382",0.215909090909091,0.897898533204384,-0.541431089627685,0.743589189812212,0.938848221669376,0.938848221669376,"SERPINA1/F10/F3/CLU/CD55/C2/SERPING1/C1QC/C3AR1/VTN/PLAU/SERPINB2/C1QA/C5AR1/PLAUR/F12/ITGAX/THBD/SERPINE1",19
"Organismal Systems","Digestive system","hsa04973","Carbohydrate digestion and absorption","10/2256","48/9382",0.208333333333333,0.866393321513002,-0.522138953558887,0.750269364465271,0.943887264972437,0.943887264972437,"MGAM/HK3/AKT2/HK1/ATP1A1/FXYD2/AKT1/ATP1B1/ATP1B3/TAS1R3",10
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","29/2256","133/9382",0.218045112781955,0.906781581613608,-0.609188038743621,0.758864766361135,0.951291189259851,0.951291189259851,"PPP2R2D/PRKACB/MAPK11/MAPK13/AKT2/GNB2/CALM2/PPP2R3A/PPP1CB/CREB1/PPP2CA/GNAI3/MAPK14/ITPR2/PPP2CB/FOS/PPP2R5D/PPP2R5A/CALM3/ITPR1/ARRB2/AKT1/MAPK12/PPP3CB/CACNA1A/PPP1CC/SLC6A3/ATF4/ATF2",29
"Metabolism","Amino acid metabolism","hsa00360","Phenylalanine metabolism","3/2256","16/9382",0.1875,0.779753989361702,-0.496091940922442,0.778255456714402,0.96448925608515,0.96448925608515,"GOT2/IL4I1/GOT1",3
"Metabolism","Glycan biosynthesis and metabolism","hsa00603","Glycosphingolipid biosynthesis - globo and isoglobo series","3/2256","16/9382",0.1875,0.779753989361702,-0.496091940922442,0.778255456714402,0.96448925608515,0.96448925608515,"ST3GAL1/A4GALT/HEXA",3
"Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","13/2256","63/9382",0.206349206349206,0.858141956546212,-0.635639373789459,0.780358146923353,0.96448925608515,0.96448925608515,"PTGES3/PLA2G6/ALOX15B/PTGS2/PTGES/ALOX5/CYP2U1/CYP4F3/ALOX12/LTC4S/CBR1/GPX4/GGT1",13
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","21/2256","99/9382",0.212121212121212,0.882145927358693,-0.663268272963252,0.780384469311062,0.96448925608515,0.96448925608515,"KRT10/KRT17/ICAM1/FCAR/FPR2/C2/C1QC/C3AR1/HLA-DPA1/FPR1/HLA-DMA/FCGR1A/FCGR2B/HLA-DPB1/HLA-DRA/IL10/C1QA/C5AR1/PTAFR/FCGR2C/FCGR3B",21
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","37/2256","170/9382",0.217647058823529,0.905126199415937,-0.702368459853145,0.78443503934982,0.966093680041358,0.966093680041358,"PPP2R2D/CD1A/ARHGEF2/EZR/PRKCI/PCNA/PRKACB/CCND1/VASP/YBX3/MAP2K7/PRKAA1/ARPC5L/ACTB/PPP2CA/ROCK2/RUNX1/PPP2CB/NEDD4L/ARPC1B/AFDN/TUBA4A/CLDN5/RAC1/MICALL2/TUBA1C/ACTN4/RHOA/ACTG1/SRC/RAPGEF2/RAB8B/MYH10/ACTN1/RDX/RAP2C/MYL9",37
"Metabolism","Glycan biosynthesis and metabolism","hsa00513","Various types of N-glycan biosynthesis","9/2256","45/9382",0.2,0.831737588652482,-0.636591583684313,0.788343141303691,0.96751203705453,0.96751203705453,"MAN1C1/B4GALT1/MAN2A2/STT3A/MGAT4B/B4GALT3/HEXA/OSTC/ALG2",9
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","10/2256","50/9382",0.2,0.831737588652482,-0.671206188747209,0.796261097558391,0.971845958028287,0.971845958028287,"TGFB1/CD80/CD40/HLA-DPA1/HLA-DMA/HLA-DPB1/HLA-DRA/IL10/ITGB7/IL6",10
"Metabolism","Glycan biosynthesis and metabolism","hsa00512","Mucin type O-glycan biosynthesis","7/2256","36/9382",0.194444444444444,0.808633766745469,-0.647254199975218,0.797412068125774,0.971845958028287,0.971845958028287,"ST3GAL1/ST6GALNAC4/GALNT7/GALNT10/GCNT1/B4GALT5/GALNT3",7
"Metabolism","Metabolism of other amino acids","hsa00430","Taurine and hypotaurine metabolism","3/2256","17/9382",0.176470588235294,0.733886107634543,-0.617887378126832,0.813752290565727,0.988328906534845,0.988328906534845,"CSAD/ADO/GGT1",3
"Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","7/2256","37/9382",0.189189189189189,0.786778800076673,-0.731160630812004,0.821051387218092,0.993755299701898,0.993755299701898,"ICAM1/IL1B/TNF/IL10/F2RL1/MYD88/IL6",7
"Organismal Systems","Endocrine system","hsa04922","Glucagon signaling pathway","22/2256","107/9382",0.205607476635514,0.85505733412872,-0.84840336266865,0.83175375672408,1,1,"PPP4C/SLC2A1/PPARA/PKM/PFKP/PRKACB/AKT2/PDHB/PRKAA1/CALM2/SIK2/CREB1/ITPR2/PFKL/CALM3/ITPR1/AKT1/PPP3CB/PYGM/CRTC2/ATF4/ATF2",22
"Organismal Systems","Excretory system","hsa04960","Aldosterone-regulated sodium reabsorption","7/2256","38/9382",0.184210526315789,0.766074094811497,-0.812970728292955,0.842475818106877,1,1,"NEDD4L/MAPK1/SGK1/ATP1A1/FXYD2/ATP1B1/ATP1B3",7
"Metabolism","Lipid metabolism","hsa00061","Fatty acid biosynthesis","3/2256","18/9382",0.166666666666667,0.693114657210402,-0.733251403915796,0.844303699712981,1,1,"ACSL1/FASN/CBR4",3
