"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SMG8",203.966037064142,-1.42730313448613,0.230083950636719,-6.20340154337712,5.52556143996001e-10,4.08983257120359e-08
"SATB2-AS1",7.46890738088565,-1.42634034097984,0.477604487212958,-2.98644669212217,0.00282240041110335,0.0127976559565993
"MRM1",29.2197398372903,-1.42568673523003,0.351004988615297,-4.06172784282731,4.87108452392413e-05,0.000454685534996121
"CEBPE",34.1283277668567,-1.40980276409573,0.325881984879198,-4.32611445096708,1.51762590478554e-05,0.000172649304142631
"PDE6A",4.70688739331732,-1.40676664030814,0.565924198063629,-2.48578633873855,0.0129265548978916,0.04416469761896
"BOLA1",46.5425126521212,-1.40582934157941,0.337666429156203,-4.16336721744133,3.13588420202014e-05,0.00031302687406623
"ZNF286A",15.4280672890741,-1.40521984236867,0.403083553539632,-3.48617508709767,0.000489980196358288,0.00304115057155155
"CCDC163",36.3447971687093,-1.39797186737873,0.359986220246597,-3.88340383257195,0.000103004281925099,0.000837843310980357
"FAM118B",193.619587233817,-1.39344018105455,0.238967455714922,-5.83108765537038,5.50672459517167e-09,2.70603177213973e-07
"SUDS3P1",4.20934612048501,-1.38811412887264,0.565701866752909,-2.45379096385225,0.0141359127562213,0.0475408016111378
"TRGV8",9.93957686885361,-1.38422395851316,0.508377087054008,-2.72282916316035,0.0064725518544419,0.0253085006531203
"NUAK2",1096.46516197201,-1.38202331686763,0.271471722249242,-5.0908555241668,3.56451553214305e-07,7.6550555730757e-06
"EFCAB7",19.8068059753573,-1.37755922619553,0.361794467953011,-3.80757404608644,0.000140336726026842,0.00108369113370858
"TNFAIP8L2",375.498225089826,-1.37728978366794,0.286259778775048,-4.81132833107602,1.49930481604375e-06,2.53413941013396e-05
"LINC02705",30.1805118659781,-1.3768400285761,0.325442300451062,-4.23067323045531,2.329929320806e-05,0.000245634037970079
"EPHB3",72.335339816288,-1.36883931226411,0.335708251513148,-4.07746698537881,4.55289921780751e-05,0.000428799452203012
"FANCF",48.9623729362226,-1.36425017839012,0.261902654027947,-5.20899714992786,1.89864029607125e-07,4.53386152628098e-06
"ZBTB16",641.683894418702,-1.36089826712454,0.284603878295541,-4.7817277658857,1.73794937812509e-06,2.85992075710289e-05
"GTSF1",21.7974246918698,-1.35994404725419,0.458333603886416,-2.96714889705362,0.00300575358288278,0.0134715156812721
"GSPT2",56.579094088909,-1.35729553192477,0.264175285624885,-5.13785961739075,2.77885340479374e-07,6.24297065928346e-06
"ERI2",61.9838106167661,-1.35496202158655,0.318316296951455,-4.25665300383031,2.07510041946215e-05,0.000222583531463415
"ZNF594",18.8533076376564,-1.34881900350046,0.412026459910682,-3.27362229064816,0.00106178434932085,0.00578323945746117
"LY86-AS1",14.6905294014425,-1.34447256093441,0.474906229367394,-2.83102742772048,0.00463987420518806,0.019240366257777
"FAM50B",45.8714872667871,-1.33852982511426,0.37153969971944,-3.60265626021936,0.00031498193584366,0.00210042907348756
"RPP40",16.7948873387469,-1.33786961907483,0.342076010597436,-3.91103023195996,9.19032665072736e-05,0.000762852707285596
"DET1",7.96829994622165,-1.33661365282925,0.504707926775883,-2.64829138184465,0.00808997631353209,0.0302154517338328
"RPL7AP64",284.329176172109,-1.33597121243287,0.214943871524258,-6.21544221269921,5.11803067078815e-10,3.86845047057284e-08
"NYNRIN",17.8510343038255,-1.33498559707796,0.427809977675174,-3.12051066301119,0.00180537761591832,0.00894815293067626
"FZD2",212.770477379492,-1.33203206508494,0.301391839087852,-4.41960229950575,9.88827048963439e-06,0.000121464313928716
"SEPSECS-AS1",15.2241819281346,-1.33186555172322,0.460052801485592,-2.89502758688219,0.0037912521232961,0.016256816195999
"HOMEZ",100.267002274189,-1.33183169132363,0.307099643948181,-4.33680636747452,1.44567873739245e-05,0.000166374305274881
"TRIM71",16.3166240758339,-1.3297985282133,0.32894764526763,-4.04258412347466,5.28653366214174e-05,0.000484839010104289
"KRCC1",317.543121048132,-1.32642256090186,0.221226794764794,-5.99575906848037,2.02537120237785e-09,1.16920943391638e-07
"NCLP1",9.42134376274857,-1.32485388751563,0.515902713858886,-2.56803046761644,0.0102278166116721,0.0365399144239949
"GIMAP1",645.253943156663,-1.32446074603896,0.257132052108626,-5.15089711756136,2.5924337987783e-07,5.92869667982146e-06
"METTL13",319.705107066023,-1.32339190394905,0.240907042998351,-5.4933715821588,3.94331876036915e-08,1.31478355228906e-06
"ZKSCAN4",73.429016969849,-1.31611647998957,0.234386085737679,-5.61516472211812,1.96375080415768e-08,7.40579003056335e-07
"CRYZ",70.6954268887149,-1.31591365575997,0.330290981254128,-3.98410410954424,6.77351744981257e-05,0.000593726592575323
"TMEM81",16.5938754192821,-1.31503029468833,0.286081579853735,-4.59669684207093,4.2924145098256e-06,6.07683254176739e-05
"ZNF175",60.4553638495016,-1.30528828617155,0.298926013961232,-4.3665931541871,1.26199478927306e-05,0.000149280258959236
"LINC02210",18.5630633326262,-1.3020205337297,0.448351529376728,-2.90401715711709,0.00368407970566833,0.0158927723796159
"GIMAP6",1259.45898116421,-1.30195685786469,0.252231323786887,-5.1617572247479,2.44642435908784e-07,5.6600930891581e-06
"ZNF234",46.8445047047371,-1.30143750031447,0.284583990083596,-4.57312268315648,4.80508593709104e-06,6.6599163128073e-05
"ZNF792",80.1678540447347,-1.30071767515133,0.237638888989236,-5.47350511813848,4.41220133894322e-08,1.43099722698308e-06
