"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PER3",71.9150776127833,-1.46271376103882,0.246357215364589,-5.93736927442582,2.8963181625072e-09,1.56523346460548e-07
"ZNNT1",14.0751030617799,-1.45942045546755,0.422410964335433,-3.4549776845012,0.000550338370648157,0.00335621738653738
"GIMAP4",2690.58257665109,-1.4577796880317,0.275662913121146,-5.2882691818288,1.23479175701034e-07,3.25350300761455e-06
"BBS10",47.9032521057678,-1.4485855142928,0.352616495262748,-4.108104793037,3.98919105792753e-05,0.000386314821342624
"NANOGP4",7.78025120668863,-1.44308291113479,0.564874813021893,-2.55469508972222,0.0106280852756092,0.0376681472573646
"RAB23",7.75997684524699,-1.44047864230232,0.540475472068707,-2.6652063169283,0.00769411026680241,0.0290593984626766
"LYST-AS1",6.36755575415348,-1.43094904776646,0.515806125294409,-2.77419940864353,0.0055337746988562,0.0221624322133356
"DTD2",19.731458972076,-1.4288432146721,0.382858087822324,-3.73204396124757,0.000189932343805595,0.00139252492758085
"CMTM1",46.0179067587654,-1.42838866329127,0.266505495590697,-5.35969684274359,8.33617198332782e-08,2.37540951818852e-06
"EID2B",12.0117005543852,-1.42790239088456,0.401233894351631,-3.5587780867615,0.000372584164125145,0.00242560449622786
"CENPBD1",128.295848522501,-1.42775565102024,0.263959337944233,-5.40899845461001,6.33781767268485e-08,1.90969580482014e-06
"SORD2P",7.92412582222973,-1.42734378769987,0.534205623967428,-2.67189959008537,0.00754232133712823,0.0286011751725539
