"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"U2AF2",4422.7956607661,0.119255961236987,0.0618051817478518,1.92954632385872,0.0536630750430283,0.134841799213627
"IL10RA",18636.7343438168,0.216905271656077,0.112409686199188,1.92959591819983,0.0536569249757043,0.134841799213627
"GPR65",269.846887807078,0.323453599803163,0.167638614611716,1.9294695351208,0.0536725985790509,0.13484673428917
"PPP1CA",4487.66133841417,0.146956148610645,0.0762161439036242,1.92814987854111,0.0538364864068531,0.135239437336353
"PSMC1",901.485503773413,0.209202054039416,0.108524651877541,1.92769154676008,0.0538935041708638,0.135363605660359
"CARMIL1",69.3798364310538,-0.413923491191311,0.214748717023703,-1.92747829615962,0.0539200503238401,0.135411214652493
"CDAN1",228.245159425129,-0.356525218014639,0.185029846190128,-1.92685248004957,0.0539980170422928,0.135577649272431
"ZNF169",92.9224611096929,-0.393960182209186,0.20446087040471,-1.92682434262057,0.0540015247270221,0.135577649272431
"MCTP1",1274.72387498242,-0.173771145648863,0.0901944983067542,-1.92662688868075,0.0540261451966057,0.135620374052498
"LRRK1",1437.59773738472,-0.168270924595903,0.0873593560179588,-1.92619236526092,0.0540803587796715,0.135718266729288
"R3HDM1",691.353491697402,-0.138668361036598,0.0719901475145707,-1.92621304197956,0.0540777780076603,0.135718266729288
"TEX12",1.57231508565072,-2.70418798106309,1.40428132888471,-1.92567395538241,0.0541450978966763,0.135861619957928
"ITPK1-AS1",4.38253142330635,-1.36920996459383,0.711090201296341,-1.92550813117339,0.0541658197003384,0.135894499551988
"TSPAN32",1425.28775322392,0.356721754063789,0.185296840898413,1.92513672836634,0.0542122551254672,0.135967918861495
"LINC01185",2.64442187473496,1.57301115985817,0.817109946418059,1.92509119091468,0.0542179508275488,0.135967918861495
"RPAP1",262.172811004691,-0.239662889168221,0.124492924843042,-1.92511252724107,0.0542152820750132,0.135967918861495
"ZNF585B",47.1974030280588,-0.650719635315954,0.338108062260785,-1.9245907091504,0.0542805826501497,0.136105852307193
"NFKB1",1958.95114741406,0.367822496576778,0.191192055003001,1.92383776915314,0.0543749215892062,0.136310395135324
"SELENOM",37.8633842800334,0.429717284011318,0.223366947538657,1.9238176854118,0.0543774398353495,0.136310395135324
