"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030665","clathrin-coated vesicle membrane","43/4608","140/19979",0.307142857142857,1.33168557787698,2.156313469214,0.0223785832081947,0.0978263780243941,0.0978263780243941,"ATP6AP1/BTBD8/ARC/DBNL/EREG/CLTCL1/AVPR2/ATP6V1A/NECAP2/DENND1A/AP1G2/FZD2/CD74/ATP6V0C/WNT5A/HLA-DPA1/EPN1/SGIP1/AFTPH/FCGR1A/HLA-DPB1/ATP6V1F/ATP6V0B/HLA-DRA/AP1G1/HBEGF/EPGN/NECAP1/EPS15/RAB5A/TFRC/VAMP4/VAMP2/CLTB/FZD4/ATP6V1H/ATP6V0D1/RAB35/HSPA8/APOE/LDLR/SYNRG/CLINT1",43
"GO:0031094","platelet dense tubular network","6/4608","11/19979",0.545454545454545,2.3649384469697,2.47926702302784,0.0233931785251248,0.100918757047863,0.100918757047863,"ATP2A2/ITPR2/ATP2A3/ITPR1/ATP2A1/EHD1",6
"GO:0071014","post-mRNA release spliceosomal complex","6/4608","11/19979",0.545454545454545,2.3649384469697,2.47926702302784,0.0233931785251248,0.100918757047863,0.100918757047863,"DHX15/GCFC2/CWF19L2/TFIP11/XAB2/YJU2B",6
"GO:0031201","SNARE complex","17/4608","46/19979",0.369565217391304,1.60233148399758,2.23928476413899,0.0234817500059079,0.100918757047863,0.100918757047863,"STX1A/NAPA/STX7/TSNARE1/SNX4/YKT6/STX11/STX6/STX4/VAMP4/SYN2/NAPG/VAMP2/STX17/VTI1A/GOSR2/NAPB",17
"GO:0032154","cleavage furrow","19/4608","53/19979",0.358490566037736,1.55431489124738,2.21240991378568,0.0240154661637183,0.102635930811422,0.102635930811422,"RALA/ECT2/STAMBP/RACGAP1/PSD/PLEKHG6/PLK4/PLCD3/PITPNM1/SPIRE2/RHOB/RAB11FIP3/ARF6/RHOA/MYH10/HMCN1/PPP1CC/RDX/RAB11FIP4",19
"GO:0098553","lumenal side of endoplasmic reticulum membrane","14/4608","36/19979",0.388888888888889,1.68611352237654,2.25596918325879,0.0242066143471868,0.102878110975544,0.102878110975544,"SPPL3/CD74/HLA-B/HLA-DPA1/HLA-E/HLA-A/TAPBP/SPPL2B/HLA-C/HLA-DPB1/HLA-DRA/HLA-F/CANX/SPPL2A",14
"GO:0031464","Cul4A-RING E3 ubiquitin ligase complex","7/4608","14/19979",0.5,2.16786024305556,2.39332354370341,0.0251187734287994,0.10558165754413,0.10558165754413,"CUL4B/TRPC4AP/ARIH1/CDKN1B/DET1/CUL4A/ERCC8",7
"GO:1990391","DNA repair complex","7/4608","14/19979",0.5,2.16786024305556,2.39332354370341,0.0251187734287994,0.10558165754413,0.10558165754413,"PAXX/XRCC5/NHEJ1/ATM/PRKDC/DCLRE1C/KDM1A",7
"GO:0045120","pronucleus","8/4608","17/19979",0.470588235294118,2.04033905228758,2.34951658354263,0.0254594912439853,0.105850602182874,0.105850602182874,"SLC2A1/AKAP8/CBX1/HSF1/EZH2/METTL23/STPG4/HNRNPL",8
"GO:0090443","FAR/SIN/STRIPAK complex","8/4608","17/19979",0.470588235294118,2.04033905228758,2.34951658354263,0.0254594912439853,0.105850602182874,0.105850602182874,"CTTNBP2NL/SLMAP/PPP2CA/SIKE1/PPP2CB/STRN/PDCD10/STRN4",8
